id	price
1686693081	$181.7
97521692	$5.80
544609389	$779.49
1026248158	$243.32
123742717	$546.19
173065766	$553.39
1330290059	$637.39
1253981415	$643.29
52989684	$725.1
1274380489	$968.41
1766204502	$123.70
4247834	$280.59
1974544575	$922.2
1281553655	$882.21
64282813	$805.93
650269667	$514.51
1002113599	$582.16
325448395	$997.59
637423489	$753.16
1978511996	$895.60
559207470	$526.25
1593611910	$0.52
1185565196	$752.50
2048971329	$208.62
996244881	$797.3
2102993831	$733.72
38191973	$676.14
908454839	$899.10
1509773734	$948.9
1515487048	$894.88
1736230796	$943.55
2065683964	$577.68
305222679	$783.59
1997437801	$887.57
1719097075	$644.83
1646105126	$6.10
2011767949	$914.4
1172109260	$131.38
815351280	$107.63
1779470172	$187.59
429624699	$8.65
431791537	$789.9
1947191198	$883.20
1025986009	$428.16
1343239511	$602.62
831662113	$532.86
1732999067	$969.24
261422555	$664.33
1218452748	$180.78
1676618376	$61.83
1536303739	$940.54
1534215660	$221.33
902027349	$685.94
1211595634	$980.70
10899592	$917.58
132814012	$113.59
386194859	$222.90
1765176382	$443.21
1314609659	$257.87
128579960	$355.29
421400642	$51.93
1484917130	$506.68
169272708	$222.34
1640301055	$475.21
443202000	$279.73
1791012731	$62.46
1657185144	$655.8
541034901	$134.76
896182865	$732.94
1679250890	$844.67
744866140	$295.63
1327276151	$786.64
1656930328	$681.22
1951238588	$704.40
254544424	$182.86
1588264120	$879.94
2078009777	$237.14
1819724084	$953.49
430146552	$428.26
1511514553	$971.65
2004846597	$311.82
1623863657	$109.23
103161782	$794.85
2109054059	$376.46
1655950976	$324.62
980724787	$424.60
1412044271	$346.76
699608957	$515.46
1591902253	$892.89
85630898	$41.47
1994633192	$630.5
2132996384	$315.95
1823418550	$972.32
232959391	$300.97
1943919409	$708.26
158125336	$57.55
773551326	$608.58
1942887619	$864.69
2080930381	$745.91
122805918	$664.85
661282226	$241.22
1961672938	$329.49
1425305279	$71.48
102572743	$816.72
1138881150	$493.71
1385681241	$537.44
1280081965	$463.80
1701759517	$237.90
644350714	$582.54
1280465859	$116.71
1198832858	$635.69
1925771123	$176.3
1748946145	$673.12
900956972	$72.74
780125195	$78.40
2044029338	$788.30
1474848657	$657.57
325693381	$341.49
242183454	$730.41
982433672	$358.95
1494395613	$911.15
1943408611	$62.22
2045284690	$966.96
829975714	$16.81
789533116	$895.14
540339414	$39.38
214848697	$765.34
1914447786	$708.70
448508235	$246.10
1776238004	$247.19
365506338	$20.43
519720770	$272.43
285523612	$97.65
9827456	$52.32
1337276515	$891.42
696942188	$736.58
809965957	$471.38
1176223502	$560.32
1261367600	$484.19
712618017	$822.59
908323886	$949.88
458938405	$237.27
1976014171	$831.7
1746123029	$511.56
173158897	$629.67
643279368	$921.49
1741153500	$406.98
354790483	$557.0
1954051497	$359.6
1252715643	$522.78
1966287318	$189.66
1369295771	$276.8
1145886149	$778.84
43319868	$731.29
804355531	$923.61
1723991799	$539.36
195544430	$586.13
99654780	$115.13
2011485926	$60.84
686846241	$421.94
560463511	$215.79
1694675971	$132.83
1783789327	$495.69
924323528	$390.87
23136082	$330.80
120334518	$154.85
1448347068	$186.93
363098801	$399.86
1223560512	$990.64
223909257	$18.7
1000408664	$830.54
565154781	$339.67
1021310142	$554.34
1844243179	$40.55
674207071	$253.67
11101445	$853.30
1047586549	$913.72
877322762	$812.87
881057948	$120.29
51784040	$933.23
563093214	$694.37
2027973184	$438.12
1606204267	$237.34
1461857658	$707.66
93762245	$507.22
683682736	$623.45
1016644772	$285.73
1647100931	$822.82
395010748	$582.93
1538931360	$233.23
696773142	$416.42
710185270	$848.60
183435465	$885.26
866726695	$253.94
1711808722	$445.84
