id	price	
148274101	$249.82	
902124504	$185.94	
1028974668	$347.7	
165480727	$767.91	
393031680	$525.40	
353312399	$977.31	
346007393	$219.39	
868604983	$296.92	
898306543	$445.18	
94994033	$894.62	
1646765231	$549.94	
2143330596	$536.54	
322623432	$965.20	
841815524	$335.53	
984609967	$508.59	
2080689569	$823.59	
1299602658	$16.32	
2051621393	$549.45	
1234558040	$389.62	
1548036258	$731.89	
1346287316	$390.21	
982753394	$169.39	
304804050	$773.34	
1442734020	$352.31	
1944058014	$76.88	
1789137741	$379.66	
1310763618	$427.48	
508986080	$418.60	
1399369096	$825.14	
1177308033	$418.88	
1492211138	$543.9	
1406481546	$559.4	
35201776	$369.74	
234822410	$146.12	
115637644	$349.85	
478403351	$209.98	
1636884320	$470.11	
1475007599	$505.11	
595555205	$377.19	
121988664	$730.15	
527385164	$60.51	
1642907293	$420.56	
2093934519	$568.70	
1802370589	$204.53	
2145945394	$16.38	
1496701050	$766.23	
1346650885	$418.37	
319396383	$717.49	
1422827446	$275.47	
612757256	$239.90	
1492360139	$993.38	
2040487613	$909.15	
726807522	$306.34	
681719319	$402.44	
1885212873	$873.60	
469706410	$915.64	
1877388444	$235.4	
1302975288	$33.46	
1974796774	$146.66	
32369088	$897.62	
2001477415	$487.69	
236304563	$968.49	
1586718717	$261.85	
778093365	$406.68	
1868212875	$663.13	
1384238731	$139.20	
1013835734	$543.75	
110301635	$634.30	
1707637974	$987.54	
519647636	$325.18	
1746230367	$756.94	
1293113577	$521.28	
19088241	$505.79	
986225029	$354.52	
1386583923	$781.34	
1606545638	$877.44	
1013544729	$616.33	
1353198695	$932.55	
527782325	$336.53	
1356078755	$740.57	
603471880	$401.35	
990219078	$712.33	
1632979667	$638.37	
1379565604	$990.95	
2043824942	$874.80	
205055363	$417.68	
1487948364	$894.46	
1526317993	$562.41	
1065024714	$554.85	
1917835563	$241.76	
2029271731	$157.93	
940050887	$724.12	
1218572503	$827.27	
2101317971	$41.59	
891134931	$183.93	
2138953483	$231.96	
1187292882	$868.70	
386576176	$972.56	
385361150	$764.2	
445799176	$860.84	
177630067	$953.46	
1875661611	$584.80	
1101974817	$186.87	
1222254033	$961.7	
19782500	$790.97	
1691318486	$135.43	
385586065	$741.69	
860510123	$641.57	
393658638	$823.9	
701479132	$2.43	
706792260	$674.1	
211147068	$58.53	
1143830896	$863.24	
1803694005	$231.73	
810269383	$225.96	
1384756410	$900.87	
1910322564	$796.66	
535937992	$158.69	
1745833565	$949.33	
1549402225	$117.97	
226447322	$945.60	
1005261120	$746.69	
464113162	$574.79	
270683130	$339.15	
118520129	$434.56	
1891744800	$33.44	
60656599	$169.51	
1135024927	$776.21	
303085239	$588.43	
1623930387	$911.4	
321979906	$336.41	
1010272782	$379.82	
962954470	$382.27	
1623601905	$745.57	
414717075	$183.19	
1846967903	$161.16	
2084113435	$367.79	
1061255354	$290.26	
1459318498	$803.8	
531018888	$257.30	
791741726	$80.10	
216447685	$962.22	
1747888246	$545.97	
788202922	$734.39	
445446869	$422.83	
1758799235	$935.33	
731086512	$805.59	
616651233	$921.84	
1803777088	$646.37	
399654265	$212.85	
1396583315	$52.74	
190794457	$620.25	
1468668936	$253.70	
114197827	$530.95	
1628215886	$489.13	
613874661	$487.29	
1563542377	$706.53	
2034135856	$874.8	
1913144639	$399.90	
496928735	$943.14	
1619989810	$566.18	
1509899436	$816.68	
825997879	$965.68	
376847275	$13.66	
1502213410	$917.75	
1602205794	$968.21	
1659269667	$318.85	
959180850	$219.86	
1369666565	$187.51	
2029150273	$965.74	
712046284	$574.88	
632804961	$622.7	
1711573102	$742.97	
561940514	$693.13	
40744341	$249.60	
1511342627	$856.73	
1850315842	$877.41	
1061242972	$614.41	
805378649	$596.68	
1186056729	$45.43	
1085057413	$263.54	
1739127621	$397.19	
1863622006	$871.29	
2038113688	$916.17	
2145539458	$279.52	
1686019510	$463.48	
1119751587	$238.69	
1078336347	$376.33	
353576707	$584.81	
254577835	$544.41	
1487042731	$182.80	
391344514	$961.32	
1527174531	$243.88	
1022661340	$122.40	
1026179030	$496.87	
701981637	$885.33	
1923841678	$827.80	
1290158733	$91.57	
785491256	$124.20	
1357391032	$694.90
