id		price	
2051997159		$804.40	
1364738122		$944.68	
1956571089		$666.60	
1093914879		$923.72	
1226796787		$154.52	
1741883814		$264.93	
1042874718		$10.30	
219420982		$590.50	
437728784		$148.41	
1725478247		$969.75	
608559512		$375.17	
1853326617		$190.53	
2022057251		$601.2	
1159381265		$805.70	
216549313		$257.31	
563917197		$42.94	
2133174820		$649.66	
1029326770		$799.7	
667867317		$883.90	
1721145152		$967.37	
566738533		$241.61	
1800066120		$546.14	
1406510521		$227.60	
2121837936		$69.93	
1669719702		$964.29	
1865959374		$766.2	
285588599		$40.18	
621984454		$641.60	
1570756856		$579.19	
1645889784		$131.46	
6866967		$394.74	
1674536440		$362.61	
552956850		$70.76	
310836313		$492.49	
1486275842		$748.65	
1619118144		$313.51	
474242675		$745.4	
1934289390		$660.85	
343487470		$521.51	
518626677		$588.66	
1344359466		$921.16	
1853502210		$231.37	
613469745		$983.60	
2086679162		$423.45	
673795115		$228.42	
548872117		$391.7	
837320299		$551.83	
2114270243		$325.76	
43993208		$47.59	
1378474295		$913.30	
262084788		$471.0	
1751657037		$522.60	
1576787602		$765.31	
926441334		$301.90	
1041048240		$459.56	
254848174		$289.89	
1651758645		$153.7	
1116577908		$737.94	
1886062056		$432.49	
276211002		$381.53	
1280913809		$292.51	
2094137977		$469.53	
1440299254		$155.5	
940944304		$14.47	
1679998781		$174.8	
1385892580		$807.65	
1344291618		$877.47	
687795980		$915.61	
412431938		$315.67	
83802166		$988.98	
70076004		$345.69	
835970722		$985.69	
1661000953		$550.42	
1005975544		$928.74	
1340758087		$470.3	
1689885998		$639.8	
962428583		$950.81	
72294720		$754.18	
440858794		$517.6	
1919476156		$754.40	
641960581		$562.66	
1945612222		$598.49	
349203002		$918.86	
1166252874		$773.39	
1726524155		$543.66	
1381532126		$110.75	
535656420		$637.87	
930575238		$98.40	
325666827		$974.92	
149104266		$279.82	
1811665084		$909.0	
1383620935		$855.27	
334242966		$477.16	
1576568360		$433.28	
198139105		$524.34	
1241031393		$967.89	
1997528824		$316.95	
1418470597		$352.95	
1515837325		$575.65	
1091473716		$786.95	
1009340160		$837.31	
1932736076		$394.51	
613609324		$715.11	
706053262		$274.73	
378948445		$810.34	
2066799381		$113.12	
125415861		$506.65	
2012592413		$108.43	
1292618415		$239.48	
1326006361		$726.39	
1066869820		$113.91	
811585723		$38.38	
761582126		$87.17	
1611061844		$993.70	
2139962981		$607.0	
1096094518		$85.8	
1374938214		$717.11	
1740292535		$885.69	
431669843		$31.60	
130235977		$901.9	
600514046		$416.4	
26968980		$836.67	
430086187		$808.79	
1089205648		$703.38	
470480685		$196.94	
1902853437		$360.8	
1864839968		$641.1	
1689681056		$688.1	
732904133		$171.46	
230949675		$519.8	
1584829242		$325.56	
91949117		$941.21	
142920044		$588.89	
51134068		$337.36	
395553711		$540.45	
1778102400		$373.24	
463505216		$779.10	
2058370532		$919.28	
681515026		$765.40	
1437984505		$654.17	
78513125		$290.28	
1195646123		$606.78	
363530796		$677.16	
1743108320		$126.28	
462816047		$698.12	
420315076		$657.20	
706105426		$969.13	
1230029393		$789.1	
311422734		$951.36	
10238246		$901.96	
1919155813		$237.59	
761846756		$458.9	
1564954857		$738.44	
1256506582		$230.63	
1651686875		$338.87	
1516441367		$645.8	
1961656634		$206.38	
6618271		$727.72	
1593613404		$695.38	
192747150		$107.9	
461909278		$832.59	
214276058		$359.71	
1008110002		$561.11	
2114344984		$321.48	
1358471047		$943.86	
285950997		$601.5	
1387119768		$971.88	
340353334		$806.85	
1959517809		$119.60	
1291436948		$561.8	
520310775		$280.21	
1165840996		$558.24	
999781116		$626.69	
50425903		$398.63	
765610605		$747.4	
2055609961		$784.32	
2058807255		$370.16	
356034070		$623.21	
38339797		$654.61	
1955854399		$718.49	
489126046		$362.32	
901637121		$907.95	
1451890097		$451.30	
2086454701		$242.90	
1308024223		$235.66	
1786064642		$158.50	
1313429770		$926.67	
545610971		$914.14	
936891630		$114.48	
444898659		$156.15	
1271773621		$639.47	
170420453		$610.87	
1015315293		$915.31	
562126035		$87.12	
214551140		$583.78	
1945933114		$452.26	
224026828		$576.51	
1562581480		$209.44	
1017708723		$116.89	
2051997159		$804.40	
